臼,,,jiu4,_ is needed to click these together,mortar 
舌,,,she2,no hint,tongue 
舛,,,chuan3,man blocking library shute => He is _ it.,oppose 
舟,,,zhou1,_ afloat.,boat
艮,,,gen4,Flag with arm sticking out to _ you.,stopping
色,,,se4,no hint,color 
艸,艹,,cao3,no hint,grass 
虍,,,hu1,man has to hide under the cliff with a periscope to avoid the _,tiger 
虫,,,chong2,no hint,insect 
血,,,xue3,Smearing _ down the wall.,blood 
行,,,xing2,man stepping outside the _ _,walk enclosure
衣,衤,,yi1,gown like pants show _,clothes 
襾,覀,,ya4,gate heading off to direction of famous story,west
見,,见,jian4,disabled eye => needs glasses to _,see
角,,,jue2,here we have a kind of animal with a _ on top.,horn
言,,讠,yan2,smoke signals are a substitute for _,speech
谷,,,gu3,in the _ where it rains a lot there is a house,valley
豆,,,dou4,raised in it's pod,bean
豕,,,shi3,fat and lazy because of its wife (family),pig 
豸,,,zhi4,_ on the lookout using eye on top,badger
貝,,贝,bei4,The _ fish is standing up,shell
赤,,,chi4,cross on a hill with _ blood running down,red
走,,,zou3,_ away downhill,run
足,,,zu2,the big square on top is like a,foot
身,,,shen1,The _ of the seaweed is above the wave,body
車,,车,che1,no hint,cart
辛,,,xin1,eyes in disgust because it tastes just so _,bitter
辰,,,chen2,pancakes on the table – it must be _,morning
辵,辶,,chuo4,the man with the large hat is a Chinese minority going for a _,walk
邑,阝,,yi4,light above many colors,city
酉,,,you3,Pouring _ into a jar.,wine
釆,,,bian4,_ between different veges before you fry them up,distinguish
里,,,li3,signpost announcing an upcoming _,village
金,,,jin1,you must store _ in a safehouse,gold 
長,,长,chang2,stretch the top out to make it very _,long 
門,,门,men2,no hint,gate 
阜,阝,,fu4,man is carrying dirt on his head to make a dirt _,mound 
隶,,,dai4,bars on top trap a _,slave 
隹,,,zhui1,has lots of feathers and a short tail on the side,short tailed bird
雨,,,yu3,those drops are _,rain
青,,,qing1,figure on top is crushing the pigment below to make _,blue 
非,,,fei1,either way you go you're _,wrong
面,,,mian4,eyes and hat => _,face 
革,,,ge2,the strap on top is made from _,leather 
韋,,韦,wei2,now we have a tanner on top,tanned leather
韭,,,jiu3,similar to wrong however it's planted into the ground so it must be a _,leek 
音,,,yin1,angry man looking down onto a _ box,sound 
頁,,页,ye4,plant below a _,leaf 
風,,风,feng1,insect is blown around by the _,wind 
飛,,飞,fei1,those feathery wings on the right are needed to _,fly 
食,飠,饣,shi2,_ at a restaurant,eat 
首,,,shou3,eyes with eyebrows on top => must be a _,head 
香,,,xiang1,the flower growing in a pot plant is _,fragrant
馬,,马,ma3,no hint,horse
骨,,,gu3,you can see the marrow on top,bone 
高,,,gao1,hat on top of a _ man,tall
髟,,,biao1,brush running through the _,hair
鬥,,,dou4,gates with warning signs,fight
鬯,,,chang4,no hint,sacrificial wine
鬲,,,li4,pot is on top of stove,cauldron
鬼,,,gui3,This _ has a limb,ghost
魚,,鱼,yu2,no hint,fish
鳥,,鸟,niao3,no hint,bird
鹵,,,lu3,_ box,salt
鹿,,,lu4,has antlers protecting its young in a cave,deer
麥,,麦,mai4,a droopy kind of grain,wheat
麻,,,ma2,_ collected and put in storage,hemp
黃,,,huang2,_ lights of oncoming train,yellow 
黍,,,shu3,another kind of grain,millet 
黑,,,hei1,no hint,black 
黹,,,zhi3,has fancy things coming out of top => _,embroidery
黽,,黾,min3,not quite fully grown,frog
鼎,,,ding3,A _ is used to hold up an eye (camera),tripod 
鼓,,,gu3,two instruments banging on a _,drum 
鼠,,鼡,shu3,two of them gnawing through wood,rat
鼻,,,bi2,beneath the eyes there is a nose,nose 
齊,,齐,qi2,Unbalanced => not _,even
齒,,齿,chi3,we can see four of them here,tooth
龍,,龙,long2,look at the tail on the right,dragon 
龜,,龟,gui1,no hint,turtle
龠,,,yue4,rather a _ playing house,flute
